id,title,type
71622,Cindy Crawford,actor
71623,Don Yesso,actor
71624,Gustav Vintas,actor
71625,Jenette Goldstein,actor
71626,Johann Carlo,actor
71627,Marc Macaulay,actor
71628,Olek Krupa,actor
71629,Ruben Rabasa,actor
71630,Scott Michael Campbell,actor
71631,Sonny Carl Davis,actor
71632,Steven Berkoff,actor
71633,William Baldwin,actor
71634,Alessandro Ruggiero,actor
71635,Dallas McKinney,actor
71636,Dan Metcalfe,actor
71637,Elliot Cho,actor
71638,Erik Walker,actor
71639,Francesco Liotti,actor
71640,Jeremy Bergman,actor
71641,Josh Hutcherson,actor
71642,Kate Walsh,actor
71643,Laura Kightlinger,actor
71644,Mike Ditka,actor
71645,Musetta Vander,actor
71646,Rachael Harris,actor
71647,Robert Duvall,actor
71648,Steven Anthony,actor
71649,Will Ferrell,actor
71650,Geoffrey Rush,actor
71651,Hans Matheson,actor
71652,Kathleen Byron,actor
71653,Liam Neeson,actor
71654,Mimi Newman,actor
71655,Peter Vaughan,actor
71656,Reine Brynolfsson,actor
71657,Toby Jones,actor
71658,Uma Thurman,actor
71659,Ally Walker,actor
71660,Anne Pitoniak,actor
71661,Brian Tarantina,actor
71662,Christian Slater,actor
71663,Debra Monk,actor
71664,Edith Blume,actor
71665,Gina Torres,actor
71666,Josh Brolin,actor
71667,Kenneth Cranham,actor
71668,Mary Alice,actor
71669,Mary Stuart Masterson,actor
71670,Michael Mantell,actor
71671,Nick Tate,actor
71672,Pamela Segall,actor
71673,R.M. Haley,actor
71674,S.A. Griffin,actor
71675,Bill Dow,actor
71676,Blake Bashoff,actor
71677,Carol Kane,actor
71678,Christine Willes,actor
71679,C.J. Grayson,actor
71680,Cody McMains,actor
71681,Curtis Armstrong,actor
71682,Don Knotts,actor
71683,Faith Prince,actor
71684,Grant Hoover,actor
71685,Harry Waters Jr.,actor
71686,Ingrid Torrance,actor
71687,Jeffrey Tambor,actor
71688,Julianne Phillips,actor
71689,Justin Jon Ross,actor
71690,Matthew Slowik,actor
71691,Michael Zwiener,actor
71692,Rick Moranis,actor
71693,Stuart Pankin,actor
71694,Susan Bain,actor
71695,Tiffany Foster,actor
71696,Tom Arnold,actor
71697,Tony Pierce,actor
71698,Andrew Lauer,actor
71699,Bruce Boa,actor
71700,Charles Powell,actor
71701,Henry Ramer,actor
71702,Jason Cavalier,actor
71703,Jennifer Rubin,actor
71704,Leni Parker,actor
71705,Liliana Komorowska,actor
71706,Michael Caloz,actor
71707,Ron White,actor
71708,Roy Dupuis,actor
71709,Sylvain Masse,actor
71710,Tom Berry,actor
71711,Andy Warhol,actor
71712,Billy Name,actor
71713,Jackson Browne,actor
71714,John Cale,actor
71715,Jonas Mekas,actor
71716,Lou Reed,actor
71717,Nico,actor
71718,Paul Morrissey,actor
71719,Sterling Morrison,actor
71720,Viva,actor
71721,David Morse,actor
71722,Angie Dickinson,actor
71723,Anjelica Huston,actor
71724,Bobby Cooper,actor
71725,Buddy Anderson,actor
71726,Christel Ehde,actor
71727,David Baerwald,actor
71728,Daysi Moreno,actor
71729,"Dennis ""Chicago"" Fanning",actor
71730,Dr. Edward L. Katz,actor
71731,Dr. William Dignam,actor
71732,Eileen Ryan,actor
71733,Elizabeth Gilliam,actor
71734,Erin Dignam,actor
71735,Gene Kirkwood,actor
71736,Grant Show,actor
71737,Hadda Brooks,actor
71738,Hanna Newmaster,actor
71739,Jack Nicholson,actor
71740,Jason Kristofer,actor
71741,Jay Koiwai,actor
71742,Jeff Morris,actor
71743,Jennifer Leigh Warren,actor
71744,Jeremiah Birkett,actor
71745,Joe Viterelli,actor
71746,John Savage,actor
71747,Joi Travers,actor
71748,Joseph Bottoms,actor
71749,Kamala Petty,actor
71750,Karen Medak,actor
71751,Kari Wuhrer,actor
71752,Kellita Smith,actor
71753,Leo Penn,actor
71754,Lindsay Wagner,actor
71755,Lisa Crawford,actor
71756,Matthew Ryan,actor
71757,Michael Abelar,actor
71758,Michael Ryan,actor
71759,Millicent Sheridan,actor
71760,Nicky Blair,actor
71761,Penny Allen,actor
71762,Piper Laurie,actor
71763,Priscilla Barnes,actor
71764,Randy Meadoff,actor
71765,Richard Bradford,actor
71766,Richard C. Sarafian,actor
71767,Robbie Robertson,actor
71768,Robin Wright Penn,actor
71769,Ruby McKoy,actor
71770,Ryo Ishabashi,actor
71771,Alejandro Garcia,actor
71772,Anne Bobby,actor
71773,Anne Heche,actor
71774,Brett Barsky,actor
71775,Charlie Landry,actor
71776,Chuck Cooper,actor
71777,Chuck Zito,actor
71778,Daniel Martinez XI,actor
71779,Denise Burse,actor
71780,Fiona Gallagher,actor
71781,Frances Foster,actor
71782,Gary R. Wordham,actor
71783,Gayle Scott,actor
71784,Jack Gilpin,actor
71785,James McCauley,actor
71786,Joe Perrino,actor
71787,Jose Jara,actor
71788,Jose Senteno,actor
71789,Joseph Gordon-Levitt,actor
71790,Julie Halston,actor
71791,Kalani Queypo,actor
71792,Luisa Huertas,actor
71793,Marco Quezaza,actor
71794,Matt Craven,actor
71795,Matthew Cowles,actor
71796,Melissa Murray,actor
71797,Michael Constantine,actor
71798,Michael Rispoli,actor
71799,Peter Rini,actor
71800,Polly Adams,actor
71801,Randy Jurgensen,actor
71802,Raoul Morales,actor
71803,Robin Moseley,actor
71804,Steve Santosusso,actor
71805,Todd Susman,actor
71806,Tom Signorelli,actor
71807,Tony Lobianco,actor
71808,William Hill,actor
71809,Aida Mohammadkhani,actor
71810,Anna Bourkowska,actor
71811,Fereshtch Sadr Orfani,actor
71812,Fereshteh Sadre Orafaiy,actor
71813,Mohammad Bahktiari,actor
71814,Mohammad Shahani,actor
71815,Mohsen Kafili,actor
71816,Mohsen Kalifi,actor
71817,William Forsythe,actor
71818,Susan Merson,actor
71819,Andy Garcia,actor
71820,Archie Smith,actor
71821,Bill Cobbs,actor
71822,Bill Coess,actor
71823,Bill C.W. Long,actor
71824,Bill Erwin,actor
71825,Buddy Guy,actor
71826,Cheree Jaeb,actor
71827,Christopher Lloyd,actor
71828,Christopher Walken,actor
71829,Chuck Bacino,actor
71830,Danny Romo,actor
71831,David Stratton,actor
71832,Deborah Strang,actor
71833,Don Cheadle,actor
71834,Don Stark,actor
71835,Fairuza Balk,actor
71836,Gabrielle Anwar,actor
71837,Glenn Plummer,actor
71838,Greg Rzab,actor
71839,Harriet Medin,actor
71840,Jacob Berenger,actor
71841,James Caan,actor
71842,Jenny McCarthy,actor
71843,Joe Drago,actor
71844,Josh Charles,actor
71845,Larissa Michiele,actor
71846,Larry Curry Jr.,actor
71847,Larry Raben,actor
71848,Lynn Applebaum,actor
71849,Marshall Bell,actor
71850,Michael Nicolosi,actor
71851,Nate Ingram,actor
71852,Phil Boardman,actor
71853,Ray Allison,actor
71854,Ruthay,actor
71855,Sarah Trigger,actor
71856,Sarah Levy Arbess,actor
71857,Scott Holt,actor
71858,Selina Mathews,actor
71859,Steve Buscemi,actor
71860,Taylor Hale,actor
71861,Tommy 'Tiny' Lister,actor
71862,Treat Williams,actor
71863,Wiley Harker,actor
71864,William Denis,actor
71865,Willie Garson,actor
71866,Elsie de Brauw,actor
71867,Adriaan Van Den Hoof,actor
71868,Antoon Schotsaert,actor
71869,Aurelie Verstraeten,actor
71870,Barbara Maes,actor
71871,Carlo Van Dam,actor
71872,Carolien Spoor,actor
71873,Catherine ten Bruggencate,actor
71874,Cederic Missine,actor
71875,Charlène Pottevin,actor
71876,Christophe De Laere,actor
71877,Christophe Horemans,actor
71878,Daisy Van Laer,actor
71879,Daniel Dailly,actor
71880,Dirk Zeelenberg,actor
71881,Dora van der Groen,actor
71882,Dorien Van Laer,actor
71883,Eddy Praet,actor
71884,Ellen Dikker,actor
71885,Els Dottermans,actor
71886,Erik de Bruyn,actor
71887,Esther Vriesendorp,actor
71888,Filip Peeters,actor
71889,Flip Filz,actor
71890,Fran Waller Zeper,actor
71891,Gabriella Martinson,actor
71892,Gilles Robertino,actor
71893,Gilles Van Durme,actor
71894,Gosewijn Zwanikken,actor
71895,Hans Kesting,actor
71896,Hans Man in't Veld,actor
71897,Igor Corbeau,actor
71898,Ilse Dense,actor
71899,Jakob Beks,actor
71900,Jan Decleir,actor
71901,Jan Steen,actor
71902,Jascha Vervoort,actor
71903,Jenne Decleir,actor
71904,Jeroen Huysmans,actor
71905,Jesse Tomballe,actor
71906,Johan Heldenbergh,actor
71907,Kristel Olejniejoh,actor
71908,Leo Hogenboom,actor
71909,Lineke Rijxman,actor
71910,Manon Sodderland,actor
71911,Margo Dames,actor
71912,Marina De Graaf,actor
71913,Menno Tomballe,actor
71914,Michaël Pas,actor
71915,Michel van Dousselaere,actor
71916,Mil Seghers,actor
71917,Nicky Wolfs,actor
71918,Paul R. Kooij,actor
71919,Petra Laseur,actor
71920,Pieter Callens,actor
71921,Reinout Bussemaker,actor
71922,Sarah De Ceuleer,actor
71923,Stijn Rabaey,actor
71924,Tamara Maes,actor
71925,Thyrza Ravesteijn,actor
71926,Tine Vanhoucke,actor
71927,Truus Te Selle,actor
71928,Veerle van Overloop,actor
71929,Victor Löw,actor
71930,Willeke van Ammelrooy,actor
71931,Wimie Wilhelm,actor
71932,Taj Mahal,actor
71933,Al Freeman Jr.,actor
71934,Anna Maria Horsford,actor
71935,Anna Marie Horsford,actor
71936,Bernie Casey,actor
71937,Charles Earl Taylor,actor
71938,Damon Hines,actor
71939,Iona Morris,actor
71940,Isaac Hayes,actor
71941,Karen Malina White,actor
71942,Paula Kelly,actor
71943,Phil Lewis,actor
71944,Phylicia Rashad,actor
71945,Polly Bergen,actor
71946,Richard Roundtree,actor
71947,Salli Richardson,actor
71948,Willie Norwood Jr.,actor
71949,Andre Gregory,actor
71950,Barbara Flood,actor
71951,Brooke Smith,actor
71952,Diane Salinger,actor
71953,Henry Jaglom,actor
71954,Jon Robin Baitz,actor
71955,Joseph Feury,actor
71956,Kristoffer Tabori,actor
71957,Martha Plimpton,actor
71958,Melissa Leo,actor
71959,Michael Emil,actor
71960,Nick Gregory,actor
71961,Roddy McDowall,actor
71962,Ron Rifkin,actor
71963,Savannah Smith Boucher,actor
71964,Victoria Foyt,actor
71965,Viveca Lindfors,actor
71966,Anna Massey,actor
71967,Annette Badland,actor
71968,Chris Larkin,actor
71969,Claire Brown,actor
71970,Douglas Henshall,actor
71971,Graham Glover,actor
71972,Jeremy Kemp,actor
71973,John Jenkins,actor
71974,John Walter White,actor
71975,Mark Rylance,actor
71976,Patsy Kensit,actor
71977,Andrew Hartley,actor
71978,Anita Weider,actor
71979,Anja Clausen,actor
71980,Balthazar Getty,actor
71981,Becky Ann Baker,actor
71982,Camilla Overbye Roos,actor
71983,Caroline Goodall,actor
71984,Charlotte Anderson,actor
71985,Chris J. Condon,actor
71986,David Lascher,actor
71987,David Selby,actor
71988,Emily Chittell,actor
71989,Ethan Embry,actor
71990,James Medina,actor
71991,Jason Marsden,actor
71992,Jeff Bridges,actor
71993,Jeremy Sisto,actor
71994,Jill Larson,actor
71995,Jordan Clarke,actor
71996,Jordan Scott,actor
71997,Julio Oscar Mechoso,actor
71998,Keith Peyton Thomas,actor
71999,Lene Kristensen,actor
72000,Lizbeth MacKay,actor
72001,Mette Hocke,actor
72002,Nathaniel Ives,actor
72003,Nicole Ann Samuel,actor
72004,Nynne Christiansen,actor
72005,Ryan Phillippe,actor
72006,Scott Wolf,actor
72007,Bruce Beatty,actor
72008,Cynthia Martells,actor
72009,Eric Lloyd,actor
72010,Ernest Perry Jr.,actor
72011,Faye Dunaway,actor
72012,Frank Kopyc,actor
72013,Glenn Shadix,actor
72014,Graham Sack,actor
72015,Jason Alexander,actor
72016,Jennifer Bassey,actor
72017,Jim Ishida,actor
72018,Judith Scott,actor
72019,Lois De Banzie,actor
72020,Lynne Marie Stewart,actor
72021,Marceline Hugot,actor
72022,Michael McCarty,actor
72023,Natalie Core,actor
72024,Nathan Davis,actor
72025,Neriah Napaul,actor
72026,Paul Reubens,actor
72027,Peter Siragusa,actor
72028,Ray Chang,actor
72029,Rupert Everett,actor
72030,Steven Gilborn,actor
72031,Danielle Mason,actor
72032,Glenis Levestam,actor
72033,Jono Manks,actor
72034,Kevin McTurk,actor
72035,Matthew Chamberlain,actor
72036,Mickey Rose,actor
72037,Nathan Meister,actor
72038,Oliver Driver,actor
72039,Peter Feeney,actor
72040,Peter Feeney (II),actor
72041,Tammy Davis,actor
72042,Tandi Wright,actor
72043,Yul Vázquez,actor
72044,Alison Stuart,actor
72045,Antonette Saftler,actor
72046,Antony Sandoval,actor
72047,Armando Ortega,actor
72048,Bill Smitrovich,actor
72049,Charles Carroll,actor
72050,Christopher Jacobs,actor
72051,C.J. Bau,actor
72052,Clark Johnson,actor
72053,Courtney Chase,actor
72054,Cynthena Sanders,actor
72055,Cynthia Noritake,actor
72056,Dana Mackey,actor
72057,Edith Diaz,actor
72058,G.D. Spradlin,actor
72059,Gloria Reuben,actor
72060,Holly Kuespert,actor
72061,Isabel Lorca,actor
72062,Jan Speck,actor
72063,Jerry Tondo,actor
72064,John Azevedo Jr.,actor
72065,Johnny Depp,actor
72066,Lance August,actor
72067,Lance Hunter Voorhees,actor
72068,Marsha Mason,actor
72069,Marta Yolanda González,actor
72070,Michael Chong,actor
72071,Miguel Nájera,actor
72072,Nicole Mancera,actor
72073,Pamela Dunlap,actor
72074,Peter Strauss,actor
72075,Rick Zieff,actor
72076,Robert Buckingham,actor
72077,Roma Maffia,actor
72078,Teddy Beeler,actor
72079,Tom Lawrence,actor
72080,Tomi-Lee Bradley,actor
72081,Andrew Stahl,actor
72082,Collin Wilcox Paxton,actor
72083,Danny Nelson,actor
72084,Eric Mabius,actor
72085,Jason Patric,actor
72086,John Doman,actor
72087,Larry Drake,actor
72088,Lee Norris,actor
72089,Muse Watson,actor
72090,Sam Waterston,actor
72091,Thandie Newton,actor
72092,David Ross,actor
72093,Bob Mason,actor
72094,Bronagh Gallagher,actor
72095,Ellie Crockett,actor
72096,Emma Griffiths Malin,actor
72097,Evelyn Doggart,actor
72098,Gary Cole,actor
72099,George Cole,actor
72100,Glenn Close,actor
72101,Henry Goodman,actor
72102,Isabella Marsh,actor
72103,John Malkovich,actor
72104,Julia Hagen,actor
72105,Julia Roberts,actor
72106,Kadamba Simmons,actor
72107,Kathy Staff,actor
72108,Linda Bassett,actor
72109,Michael Gambon,actor
72110,Mimi Potworowska,actor
72111,Moya Brady,actor
72112,Piu Fan Lee,actor
72113,Richard Leaf,actor
72114,Robbi Stevens,actor
72115,Samantha Hones,actor
72116,Sasha Hanau,actor
72117,Stephen Boxer,actor
72118,Tim Barlow,actor
72119,Wendy Nottingham,actor
72120,Allen Payne,actor
72121,Eddie Murphy,actor
72122,Jerry Hall,actor
72123,Joanna Cassidy,actor
72124,Joe Costanza,actor
72125,John LaMotta,actor
72126,John Witherspoon,actor
72127,Josef Powell,actor
72128,Kadeem Hardison,actor
72129,Michael Hyde,actor
72130,Mitch Pileggi,actor
72131,Nick Corri,actor
72132,Nick de Mauro,actor
72133,Oren Waters,actor
72134,Ray Combs,actor
72135,Simbi Khali,actor
72136,Troy Curvey Jr.,actor
72137,Vickilyn Reynolds,actor
72138,W. Earl Brown,actor
72139,Zakes Mokae,actor
72140,David Arquette,actor
72141,Lauren Holly,actor
72142,Matt Dillon,actor
72143,Max Perlich,actor
72144,Noah Emmerich,actor
72145,Pruitt Taylor Vince,actor
72146,Richard Bright,actor
72147,Sam Robards,actor
72148,Timothy Hutton,actor
72149,Jim Palmer,actor
72150,James MacDonald,actor
72151,Carmen Argenziano,actor
72152,Casey Biggs,actor
72153,Charlie Brewer,actor
72154,Chris Mulkey,actor
72155,Daniel von Bargen,actor
72156,Frank Whaley,actor
72157,Gary Epper,actor
72158,Howie Long,actor
72159,Jack Thompson,actor
72160,J.N. Roberts,actor
72161,Kurtwood Smith,actor
72162,Myke Schwartz,actor
72163,Shaun Toub,actor
72164,Vondie Curtis-Hall,actor
72165,Vyto Ruginis,actor
72166,Allie Byrne,actor
72167,Brian Pettifer,actor
72168,Celia Imrie,actor
72169,Gerard Horan,actor
72170,Hetta Charnley,actor
72171,Jennifer Saunders,actor
72172,Joan Collins,actor
72173,John Sessions,actor
72174,Julia Sawalha,actor
72175,Mark Hadfield,actor
72176,Nick Farrell,actor
72177,Patrick Doyle,actor
72178,Richard Briers,actor
72179,Robert Hines,actor
72180,Shaun Prendergast,actor
72181,Andrée Damant,actor
72182,Benoît Magimel,actor
72183,Christophe Rossignon,actor
72184,Edouard Montoute,actor
72185,Félicit?Wouassi,actor
72186,François Levantal,actor
72187,François Toumarkine,actor
72188,Hubert Kounde,actor
72189,Joseph Momo,actor
72190,Karim Belkhadra,actor
72191,Karin Viard,actor
72192,Marc Duret,actor
72193,Mathieu Kassovitz,actor
72194,Peter Kassovitz,actor
72195,Philippe Nahon,actor
72196,Said Taghmaoui,actor
72197,Vincent Cassel,actor
72198,Vincent Lindon,actor
72199,Bruce Davison,actor
72200,Cynthia Sikes,actor
72201,Jennifer Grant,actor
72202,Juliet Landau,actor
72203,Lee Grant,actor
72204,Mae Whitman,actor
72205,Marcia Strassman,actor
72206,Martha Gehman,actor
72207,Pamela Bellwood,actor
72208,Rob Morrow,actor
72209,Robert Romanus,actor
72210,Robyn Peterson,actor
72211,Cookie,actor
72212,Daryl Gates,actor
72213,Heidi Fleiss,actor
72214,Ivan Nagy,actor
72215,Madam Alex,actor
72216,Nick Broomfield,actor
72217,Victoria Sellers,actor
72218,John Finn,actor
72219,Angel David,actor
72220,Anthony Franciosa,actor
72221,Brian Murray,actor
72222,Danny Aiello,actor
72223,Edward I. Koch,actor
72224,Fran Brill,actor
72225,Harry Bugin,actor
72226,John Cusack,actor
72227,John Slattery,actor
72228,Jordan Baker,actor
72229,Joseph Kelly,actor
72230,Larry Romano,actor
72231,Lauren Vélez,actor
72232,Lindsay Duncan,actor
72233,Lucia Mendoza,actor
72234,Mark Lonow,actor
72235,Martin Andau,actor
72236,Martin Landau,actor
72237,Mary Murphy,actor
72238,Mel Winkler,actor
72239,Miguel Sierra,actor
72240,Murphy Guyer,actor
72241,Richard Gant,actor
72242,Richard Schiff,actor
72243,Rob La Belle,actor
72244,Roberta Peters,actor
72245,Stanley Anderson,actor
72246,Sylvia Kauders,actor
72247,Tamara Tunie,actor
72248,Andrew Wilson,actor
72249,Bob Musgrave,actor
72250,Brian Tenenbaum,actor
72251,Darryl Cox,actor
72252,Dipak Pallana,actor
72253,Haley Miller,actor
72254,Hector Garcia,actor
72255,Jenni Tooley,actor
72256,Jim Ponds,actor
72257,Kumar Pallana,actor
72258,Luke Wilson,actor
72259,Lumi Cavazos,actor
72260,Ned Dowd,actor
72261,Owen Wilson,actor
72262,Robert Musgrave,actor
72263,Shea Fowler,actor
72264,Stephen Dignan,actor
72265,Temple Nash,actor
72266,Peter White,actor
72267,Bill Pullman,actor
72268,Bob Harvey,actor
72269,Brad William Henke,actor
72270,Camille Saviola,actor
72271,Casey Kasem,actor
72272,Christine Cattall,actor
72273,Christopher Kriesa,actor
72274,Dean Stockwell,actor
72275,Ellen Cleghorne,actor
72276,Ellen DeGeneres,actor
72277,Frank Lugo,actor
72278,Frank Roman,actor
72279,Hector Elias,actor
72280,Hope Davis,actor
72281,Jean Kasem,actor
72282,Joan Plowright,actor
72283,John Livingston,actor
72284,Jonathan Hernandez,actor
72285,Louie Anderson,actor
72286,Maddie Corman,actor
72287,Polly Holliday,actor
72288,Robert Goulet,actor
72289,Shea Farrell,actor
72290,Wayne Alexander,actor
72291,Kim Catrall,actor
72292,Caroline Elliott,actor
72293,Cheryl Wilson,actor
72294,Colleen Rennison,actor
72295,Duncan Fraser,actor
72296,Garwin Sanford,actor
72297,Kim Cattrall,actor
72298,Kim Coates,actor
72299,Linda Fiorentino,actor
72300,Peter Coyote,actor
72301,Ray Liotta,actor
72302,Stellina Rusich,actor
72303,Suzy Joachim,actor
72304,William B. Davis,actor
72305,John Shaw,actor
72306,Andrew Johnston,actor
72307,Ellie Harvie,actor
72308,Adam Sandler,actor
72309,Allen Covert,actor
72310,Ben Stiller,actor
72311,Betty Linde,actor
72312,Bob Barker,actor
72313,Brent Chapman,actor
72314,Brett Armstrong,actor
72315,Carl Weathers,actor
72316,Charles L. Brame,actor
72317,Dave Cameron,actor
72318,David Kaye,actor
72319,Dennis Dugan,actor
72320,D.J. Jackson,actor
72321,Donald MacMillan,actor
72322,Douglas Newell,actor
72323,Edward Lieberman,actor
72324,Fat Jack,actor
72325,Frances Bay,actor
72326,Frank L. Frazier,actor
72327,Fred Perron,actor
72328,Helen Honeywell,actor
72329,Helena Yea,actor
72330,Ian Boothby,actor
72331,Jared Van Snellenberg,actor
72332,Jessica Gunn,actor
72333,Jim Crescenzo,actor
72334,Joe Flaherty,actor
72335,John Destrey,actor
72336,Julie Bowen,actor
72337,Ken Camroux,actor
72338,Kevin Nealon,actor
72339,Kimberly Restell,actor
72340,Lee Trevino,actor
72341,Lisanne Collett,actor
72342,Lou Kliman,actor
72343,Louis O'Donoghue,actor
72344,Mark Lye,actor
72345,Michelle Holdsworth,actor
72346,Nancy McClure,actor
72347,Paul Raskin,actor
72348,Peter Kelamis,actor
72349,Phillip Beer,actor
72350,Rich Elwood,actor
72351,Richard Kiel,actor
72352,Robert Smigel,actor
72353,Simon Webb,actor
72354,Stephen Dimopoulos,actor
72355,Stephen Tibbetts,actor
72356,Ted Deeken,actor
72357,Verne Lundquist,actor
72358,Will Sasso,actor
72359,William Samples,actor
72360,Zachary Webb,actor
72361,Annie Corley,actor
72362,Clint Eastwood,actor
72363,David Gilbert,actor
72364,George Orrison,actor
72365,Jim Haynie,actor
72366,Kyle Eastwood,actor
72367,Meryl Streep,actor
72368,Phyllis Lyons,actor
72369,Victor Slezak,actor
72370,Anja Hoffmann,actor
72371,Elisabeth Trissenaar,actor
72372,Erwin Grosche,actor
72373,Ingo Naujoks,actor
72374,Joachim Król,actor
72375,Lorose Keller,actor
72376,Maria Schrader,actor
72377,Michael von Au,actor
72378,Peggy Parnass,actor
72379,Pierre Sanoussi-Bliss,actor
72380,Dave Goelz,actor
72381,David Rudman,actor
72382,Frank Oz,actor
72383,Frederick Warder,actor
72384,Harry Jones,actor
72385,Jerry Nelson,actor
72386,Kevin Bishop,actor
72387,Kevin Clash,actor
72388,Steve Whitmire,actor
72389,Tim Curry,actor
72390,Michael Byrne,actor
72391,Brian Cox,actor
72392,James Robinson,actor
72393,Tommy Flanagan,actor
72394,Alan Tall,actor
72395,Alex Norton,actor
72396,Alun Armstrong,actor
72397,Angus Macfadyen,actor
72398,Barry McGovern,actor
72399,Bernard Horsfall,actor
72400,Brendan Gleeson,actor
72401,Catherine McCormack,actor
72402,David Gant,actor
72403,David McKay,actor
72404,David O'Hara,actor
72405,Donal Gibson,actor
72406,Gerard McSorley,actor
72407,Ian Bannen,actor
72408,James Cosmo,actor
72409,Jeanne Marine,actor
72410,Jimmy Keogh,actor
72411,Joe Savino,actor
72412,John Kavanagh,actor
72413,John Murtagh,actor
72414,Julie Austin,actor
72415,Liam Carney,actor
72416,Mal Whyte,actor
72417,Malcolm Tierney,actor
72418,Martin Dempsey,actor
72419,Martin Dunne,actor
72420,Martin Murphy,actor
72421,Niall O'Brien,actor
72422,Patrick McGoohan,actor
72423,Peter Hanly,actor
72424,Peter Mullan,actor
72425,Phil Kelly,actor
72426,Ralph Riach,actor
72427,Robert Paterson,actor
72428,Sandy Nelson,actor
72429,Sean Lawlor,actor
72430,Sean McGinley,actor
72431,Sophie Marceau,actor
72432,Peter Boyle,actor
72433,Albert Brooks,actor
72434,Bill Minkin,actor
72435,Bob Maroff,actor
72436,Brenda Dickson,actor
72437,Carey Poe,actor
72438,Copper Cunningham,actor
72439,Cybill Shepherd,actor
72440,Deborah Morgan,actor
72441,Diahnne Abbott,actor
72442,Frank Adu,actor
72443,Gino Ardito,actor
72444,Harry Cohn,actor
72445,Harry Northrup,actor
72446,Jason Holt,actor
72447,Jodie Foster,actor
72448,Joe Spinell,actor
72449,Leonard Harris,actor
72450,Martin Scorsese,actor
72451,Murray Moston,actor
72452,Norman Matlock,actor
72453,Peter Savage,actor
72454,Ralph S. Singleton,actor
72455,Richard Higgs,actor
72456,Robert Shields,actor
72457,Steven Prince,actor
72458,Vic Magnotta,actor
72459,Victor Argo,actor
72460,Anita Mui,actor
72461,Bill Tung,actor
72462,Carrie Cain-Sparks,actor
72463,Francoise Yip,actor
72464,Garvin Cross,actor
72465,Hua Yueh,actor
72466,Jackie Chan,actor
72467,Kris Lord,actor
72468,Marc Akerstream,actor
72469,Morgan Lam,actor
72470,Alfred Molina,actor
72471,Alison Folland,actor
72472,Ann Magnuson,actor
72473,Bernadette Quigley,actor
72474,Edward Furlong,actor
72475,Ellen Lancaster,actor
72476,Jay Potter,actor
72477,John Wylie,actor
72478,John Deyle,actor
72479,John Heard,actor
72480,John Webber,actor
72481,Julia Weldon,actor
72482,Kaiulani Lee,actor
72483,Oliver Graney,actor
72484,Robert Westenberg,actor
72485,Sharon Ullrick,actor
72486,Susan May Pratt,actor
72487,Tim Cavanaugh,actor
72488,Wesley Addy,actor
72489,Paul Young,actor
72490,Andrea Morris,actor
72491,Barry Dunn,actor
72492,Clive Russell,actor
72493,Craig Olejnik,actor
72494,Elizabeth Richardson,actor
72495,Ida Donovan,actor
72496,Kenneth Welsh,actor
72497,Matt Zimmerman,actor
72498,Norma Dell'Agnese,actor
72499,Peter Boretski,actor
72500,Peter MacLean,actor
72501,Peter Marinker,actor
72502,Sam White,actor
72503,Sean Hewitt (II),actor
72504,Terry O'Keefe,actor
72505,Eddy Mitchell,actor
72506,Michel Serrault,actor
72507,Sabine Azéma,actor
72508,Anne Frank,actor
72509,Ashley Johnson,actor
72510,Miep Gies,actor
72511,Antony Sher,actor
72512,Charlotte Coleman,actor
72513,Dorothea Alexander,actor
72514,Hugh O'Conor,actor
72515,Jack Deam,actor
72516,Norman Caro,actor
72517,Paul Stacey,actor
72518,Robert Demeger,actor
72519,Roger Lloyd-Pack,actor
72520,Ruth Sheen,actor
72521,Samantha Edmonds,actor
72522,Tobias Arnold,actor
72523,Bill Sage,actor
72524,David Thornton,actor
72525,Dominic Chianese,actor
72526,Elle Macpherson,actor
72527,Emily Anne Hart,actor
72528,Eric Schaeffer,actor
72529,Paul Greco,actor
72530,Robert John Burke,actor
72531,Sarah Jessica Parker,actor
72532,Scarlett Johansson,actor
72533,Adam James,actor
72534,Alan Arkin,actor
72535,Candice Daly,actor
72536,Cody Glenn,actor
72537,Dominik García-Lorido,actor
72538,Drucilla A. Carlson,actor
72539,Duane Davis,actor
72540,Frank Ray Perilli,actor
72541,Fred Asparagus,actor
72542,Fred Lehto,actor
72543,Joe Pantoliano,actor
72544,Kevin McCarthy,actor
72545,Leata Galloway,actor
72546,Lee de Broux,actor
72547,Miguel Nino,actor
72548,Mike Nussbaum,actor
72549,Natalia Nogulich,actor
72550,Nick Pellegrino,actor
72551,Pamela Winslow,actor
72552,Philip Arthur Ross,actor
72553,Rachel Ticotin,actor
72554,Renee Victor,actor
72555,Rita Taggart,actor
72556,Robert Lesser,actor
72557,Ron Dean,actor
72558,Salvatore Basile,actor
72559,Sam Vlahos,actor
72560,Steven Robert Ross,actor
72561,Takaaki Ishibashi,actor
72562,Tim Winters,actor
72563,Tom Wood,actor
72564,William Marquez,actor
72565,Anthony Ruivivar,actor
72566,Bill Hunter,actor
72567,Casey Affleck,actor
72568,Dante Basco,actor
72569,Eliza Dushku,actor
72570,Halle Berry,actor
72571,James Belushi,actor
72572,Kevin Tighe,actor
72573,Steve Zahn,actor
72574,Alain Goulem,actor
72575,Ashley Billard,actor
72576,Brian Dodd,actor
72577,Brian Dooley,actor
72578,David Hewlett,actor
72579,Ed Martin,actor
